Qubit,Frequency,T1,T2,ReadoutError,SQError,TQError,Gate time (ns),Operational
0,4.90870978,193.6047813,27.14851397,0.1517,0.0006428211045,0_14:0.018035439541048914,0_14:660,TRUE
1,4.855720568,145.2280826,101.7667946,0.0807,0.0003793510479,1_2:0.011937455773033512;1_0:0.01967613490330289,1_2:660;1_0:660,TRUE
2,4.73315612,221.7959806,47.89606176,0.0039,0.0003364645537,,,TRUE
3,4.820347659,175.8987905,53.36475416,0.0885,0.0005826297207,3_2:0.017769528285786262,3_2:660,TRUE
4,4.854404834,195.7486847,72.70833329,0.0505,0.000310477129,4_5:0.009032544381374324;4_3:0.012081945549001133,4_5:660;4_3:660,TRUE
5,4.728146983,243.7498967,224.5883381,0.0104,0.000299373024,,,TRUE
6,4.782697414,287.9969598,292.3759218,0.0227,0.0001300813342,6_5:0.004440222522439835,6_5:660,TRUE
7,4.94389686,310.6008644,246.81407,0.0151,0.0001617923984,7_6:0.007040548993585777,7_6:660,TRUE
8,5.16926816,176.6301824,128.8586941,0.0169,0.0003004170278,8_16:0.01342097383031024;8_9:0.009595266058450763;8_7:0.010366129133790924,8_16:660;8_9:660;8_7:660,TRUE
9,4.935711114,287.3482485,157.9007377,0.0088,0.0001214360774,9_10:0.003834051563445684,9_10:660,TRUE
10,4.838631915,274.6100481,66.67253094,0.0315,0.0002325574531,,,TRUE
11,5.085445805,219.9642205,257.1546457,0.0089,0.0002130774066,11_10:0.005837110897643355;11_12:0.0051689828143164085,11_10:660;11_12:660,TRUE
12,4.952370137,260.9277552,123.2789554,0.0053,0.0001415666494,12_13:0.007142145324607468,12_13:660,TRUE
13,4.859096963,237.8100816,239.1332145,0.006,0.0001157447177,,,TRUE
14,4.941690402,157.6756181,84.40904137,0.1054,0.0006299329595,,,TRUE
15,4.965354142,241.7283425,111.3786008,0.0077,0.0001764237807,15_4:0.005180204601593935,15_4:660,TRUE
16,4.989448032,246.7752979,106.2122822,0.0066,0.000305172547,16_26:0.008000212119215727,16_26:660,TRUE
17,5.049579186,213.6596328,234.353282,0.0095,0.0001582508844,17_12:0.005736722855763904;17_30:0.01774580846617818,17_12:660;17_30:660,TRUE
18,4.840967417,237.9640752,282.3286185,0.1229,0.0001678078641,18_14:0.008645332849595094;18_19:0.00457812696331264,18_14:660;18_19:660,TRUE
19,4.798687971,301.0297795,248.5513581,0.015,0.0002597597788,19_20:0.004778126944136513,19_20:660,TRUE
20,4.731398556,263.9364729,205.8118663,0.0117,0.0001973569466,,,TRUE
21,4.832578305,270.2751609,175.9931014,0.0078,0.0001963777152,21_20:0.006466807715695216,21_20:660,TRUE
22,4.907101933,202.0730245,21.76997002,0.0168,0.0008451177088,22_15:0.017290195532584707;22_21:0.019075852309061392;22_23:0.017474663573964128,22_15:660;22_21:660;22_23:660,TRUE
23,4.811724733,311.1450585,191.6227392,0.0087,0.0001386059567,23_24:0.009022021812250647,23_24:660,TRUE
24,4.872545644,220.3321021,48.56860541,0.0229,0.0002534694038,,,TRUE
25,4.910008585,190.9098024,159.8974238,0.0504,0.000204763055,25_26:0.004883277401722702;25_24:0.008166529850622717,25_26:660;25_24:660,TRUE
26,4.806397692,285.2627392,296.9608406,0.0074,0.0001864590504,,,TRUE
27,4.894987566,231.474818,130.6165024,0.0073,0.0003976994271,27_28:0.008775670462641771;27_26:0.008551755486072704,27_28:660;27_26:660,TRUE
28,4.962321036,208.9738354,32.5773119,0.0482,0.0002391099711,28_35:0.008710160542538037;28_29:0.006960099749280441,28_35:660;28_29:660,TRUE
29,5.080047364,229.6149902,136.6418967,0.0252,0.0004825239137,,,TRUE
30,5.164694342,159.1077349,54.40334063,0.0537,0.003962043303,30_31:0.052339840594024606;30_29:0.03639140339440619,30_31:660;30_29:660,TRUE
31,5.085545414,272.8736843,122.6224275,0.007,0.000280575833,31_32:0.004335872311750422,31_32:660,TRUE
32,5.022220221,280.5573816,283.545855,0.0092,0.0001711474135,32_36:0.005384050333847895,32_36:660,TRUE
33,4.959634046,218.7612202,25.15492142,0.0193,0.001093089391,33_39:0.021405732061813676;33_20:0.02243749020898156,33_39:660;33_20:660,TRUE
34,4.931394911,263.0575596,75.77415653,0.0341,0.000227364309,34_43:0.006631159062104319;34_24:0.00867611966083992,34_43:660;34_24:660,TRUE
35,4.843706806,371.9699541,145.5271635,0.0075,0.0001731278085,,,TRUE
36,4.817561615,324.1408717,122.4096557,0.01,0.0001173018415,,,TRUE
37,4.992195498,176.7620875,122.4011544,0.1275,0.0005642471283,37_38:0.0050291462276844945,37_38:660,TRUE
38,4.902104697,251.463558,147.5660657,0.0163,0.0001577711392,38_39:0.00425527459685951,38_39:660,TRUE
39,4.791148512,275.1659926,105.1998595,0.0595,0.0003573441937,39_40:0.0039823708770073685,39_40:660,TRUE
40,4.919604794,292.8689373,40.65154613,0.0101,0.0001534963873,40_41:0.01007379678449899,40_41:660,TRUE
41,4.737745225,196.2581848,54.14068394,0.0096,0.0005183201593,,,TRUE
42,4.834744006,179.4197946,9.802205634,0.005,0.000249809733,42_41:0.010020347596351203,42_41:660,TRUE
43,4.74920402,368.8526545,341.180529,0.0299,0.0001805601069,43_42:0.006947353073474938,43_42:660,TRUE
44,4.935729834,308.2814302,210.8915229,0.0088,0.0001518465244,44_43:0.005068953877652299;44_45:0.0033604605685050026,44_43:660;44_45:660,TRUE
45,4.71583055,252.2915076,379.524255,0.0077,0.0001196460806,,,TRUE
46,4.803531605,301.4636252,537.3962187,0.011,0.0001550881235,46_45:0.0033478648277313894,46_45:660,TRUE
47,4.938394181,303.6717537,40.74606651,0.0103,0.0001664107966,47_35:0.009636157952146507;47_46:0.005773002707401748,47_35:660;47_46:660,TRUE
48,5.00213573,179.2383579,272.3611982,0.0195,0.0001460147798,48_47:0.004600635181714552,48_47:660,TRUE
49,5.129177701,157.1731347,83.06129087,0.0056,0.0002758388345,49_55:0.010289735828548807;49_48:0.007591216214982793,49_55:660;49_48:660,TRUE
50,5.208620855,200.7334245,101.9409898,0.0061,0.0002602632859,50_51:0.007485572833525744;50_49:0.008210550930352334,50_51:660;50_49:660,TRUE
51,5.00074686,265.9876236,209.934559,0.0132,0.0002095049131,51_36:0.005539988640382049,51_36:660,TRUE
52,5.078179932,201.40166,179.3716751,0.011,0.0002169852443,52_37:0.007511649877277898,52_37:660,TRUE
53,4.791118668,364.2247075,180.8143266,0.0107,0.0001435042006,53_60:0.004957072100135851;53_41:0.008200719142615692,53_60:660;53_41:660,TRUE
54,4.829790937,295.6730961,194.7120033,0.0129,0.0009097884223,54_64:0.010113148429014118;54_45:0.025563558295152777,54_64:660;54_45:660,TRUE
55,5.070987663,153.5898785,123.1788173,0.0069,0.0003834903765,55_68:0.010028130460137036,55_68:660,TRUE
56,4.855149423,210.9450446,37.10502899,0.012,0.0007279167201,56_52:0.0077869017413893515,56_52:660,TRUE
57,4.977123609,250.0553457,57.98013287,0.1213,0.001106689039,57_56:0.05642478924983668;57_58:0.039634796663559124,57_56:660;57_58:660,TRUE
58,4.927627629,311.8038657,38.18793549,0.0447,0.0004150831119,,,TRUE
59,4.836562951,289.5416695,31.75603777,0.0199,0.0001851693708,59_58:0.005429800354722264;59_60:0.004979954706361228,59_58:660;59_60:660,TRUE
60,4.947956238,230.9009592,171.6925716,0.0067,0.000177052638,,,TRUE
61,5.005321313,120.0514763,67.18493949,0.0212,0.0002878830534,61_60:0.00580459474991904,61_60:660,TRUE
62,4.899110791,202.2739662,182.9035476,0.0084,0.0001712812302,62_61:0.007680984314877376;62_63:0.008237716730775863,62_61:660;62_63:660,TRUE
63,5.044188699,232.2953359,22.81439763,0.0065,0.0004135464885,63_64:0.006238106791345788,63_64:660,TRUE
64,4.948851178,134.3325924,100.6916961,0.0071,0.0001982550314,64_65:0.005671044018130983,64_65:660,TRUE
65,5.02125529,181.5750355,156.6028976,0.0095,0.0002304117441,65_66:0.00615282801871897,65_66:660,TRUE
66,4.883675525,298.0139696,204.1477604,0.0141,0.0004435297605,,,TRUE
67,5.070275429,308.0024714,206.8240853,0.0119,0.0003476419437,67_68:0.007029353611817807;67_66:0.008776311577900847,67_68:660;67_66:660,TRUE
68,4.968554249,224.5656515,40.66679522,0.0561,0.0004477745608,68_69:0.008798866202853445,68_69:660,TRUE
69,4.928257674,265.3002671,52.79689123,0.0206,0.0003974912771,,,TRUE
70,5.046823189,244.9800298,144.2719708,0.0096,0.0001829405891,70_69:0.007941549242623414,70_69:660,TRUE
71,4.779726351,215.412627,205.2919022,0.0271,0.0002026118201,71_58:0.00876760546050484,71_58:660,TRUE
72,5.026857415,96.2751003,144.6483702,0.0123,0.0003022454265,72_62:0.005964990265397846,72_62:660,TRUE
73,4.79781277,309.59037,79.94153415,0.0045,0.0001232534044,73_66:0.004839514191209149;73_85:0.004463236235685952,73_66:660;73_85:660,TRUE
74,5.115360353,152.5447603,129.1552541,0.0057,0.0002247555415,74_70:0.005455478704402633,74_70:660,TRUE
75,4.704543596,228.5420381,109.4308802,0.0538,0.0005644895169,75_90:0.031636664762900085,75_90:660,TRUE
76,4.95678556,106.9782324,94.44898948,0.1099,0.007910114717,76_77:0.040025754084977966;76_75:0.07130695375574508,76_77:660;76_75:660,TRUE
77,5.072591003,243.6243804,33.34180871,0.0952,0.000492723698,77_71:0.012012448752335564;77_78:0.012647069883940293,77_71:660;77_78:660,TRUE
78,4.818596734,244.1624708,197.792807,0.0134,0.0002431627329,,,TRUE
79,4.874790639,151.8964352,47.86308418,0.0164,0.0004452369271,79_78:0.013175398309518749;79_91:0.010909032947137437,79_78:660;79_91:660,TRUE
80,4.921243201,241.8105212,221.5161434,0.0347,0.0003221505193,80_79:0.014935603271850728,80_79:660,TRUE
81,5.081059061,185.7799242,30.81194998,0.0283,0.0005466455507,81_72:0.01149204495504097;81_80:0.015150536718361585,81_72:660;81_80:660,TRUE
82,5.127984169,149.1904623,169.9941964,0.0071,0.0002050133383,82_81:0.013470283697510854;82_83:0.006380709221637415,82_81:660;82_83:660,TRUE
83,5.000393574,308.1817265,259.5660421,0.0121,0.0001655411134,83_92:0.01728957863400435,83_92:660,TRUE
