Qubit,Frequency,T1,T2,ReadoutError,SQError,TQError,Gate time (ns),Operational
0,4.822505699,427.4706033,251.3139585,0.0272,0.00008918853383,,,TRUE
1,4.77269613,361.2151814,177.8092512,0.0099,0.0001982623342,1_0:0.0035349312945841538,1_0:660,TRUE
2,4.718301058,256.9124207,273.5954365,0.0313,0.0000912793783,2_3:0.008976904338163283;2_1:0.0037036725277592164,2_3:660;2_1:660,TRUE
3,4.800136549,269.9057301,358.055224,0.0283,0.0004495892418,3_4:0.04156694543118522,3_4:660,TRUE
4,4.832882031,326.9541379,241.1770426,0.1183333333,0.0002701074921,,,TRUE
5,4.660703178,266.8832447,297.3616116,0.03166666667,0.0001552384905,5_4:0.008395443181063805,5_4:660,TRUE
6,4.906922002,261.7210853,155.0589057,0.0098,0.0009693507205,6_7:0.00944614780580888;6_5:0.006557028644798429,6_7:660;6_5:660,TRUE
7,4.719562999,331.2472092,79.55255106,0.06666666667,0.0003027638799,7_8:1,7_8:660,TRUE
8,4.637220757,212.3537053,15.62654899,0.185,0.004748875912,,,TRUE
9,4.716743417,351.6526178,85.17550739,0.06166666667,0.000511742675,9_10:0.008077800626526604;9_8:1,9_10:660;9_8:660,TRUE
10,4.669410865,273.553238,367.7612668,0.064,0.0001256803208,,,TRUE
11,4.725297088,182.1632233,290.4398038,0.064,0.000410580533,11_10:0.008824701981358957,11_10:660,TRUE
12,4.682907366,141.7099769,130.1171093,0.0269,0.000117034967,12_11:0.010540326859608928,12_11:660,TRUE
13,4.729969502,125.8372256,101.4525884,0.0055,0.0003200006905,13_12:0.0053897540864356885,13_12:660,TRUE
14,4.740328682,224.1708877,29.60209835,0.1103,0.0002347147121,14_0:0.005741822029047938;14_18:0.006465935616365853,14_0:660;14_18:660,TRUE
15,4.669102554,355.6363998,267.6911144,0.0107,0.001260803534,15_4:0.01406752542399145,15_4:660,TRUE
16,,,,,,,,FALSE
17,4.880474453,203.7811468,170.7176492,0.0332,0.0001940891915,17_12:0.0043913927501740835;17_30:0.00563879994751712,17_12:660;17_30:660,TRUE
18,4.652664152,435.9253715,93.12350372,0.0094,0.0001568395413,18_19:0.011326570699073557,18_19:660,TRUE
19,4.8788555,393.1054832,172.4241771,0.0131,0.0005155744753,,,TRUE
20,4.650839831,371.729465,137.8498636,0.0191,0.0001335432797,20_19:0.0181246472049873,20_19:748,TRUE
21,4.568033921,484.942577,142.237275,0.021,0.0003087242456,21_20:0.005217805685502314;21_22:0.004164919414085755,21_20:660;21_22:660,TRUE
22,4.768025597,431.644518,293.2838761,0.0675,0.0001455294259,22_15:0.015753486809480466,22_15:660,TRUE
23,4.826027077,365.9818118,126.658117,0.0071,0.0002595967605,23_22:0.0058520466160218165,23_22:660,TRUE
24,5.01975311,281.9406759,201.6666768,0.0055,0.0001512613289,24_34:0.0053029306283445266;24_23:0.023769408447969514;24_25:0.012037614555577614,24_34:660;24_23:660;24_25:660,TRUE
25,4.841906472,199.4397824,282.0196105,0.0046,0.0006902902466,25_26:0.01519202737448544,25_26:660,TRUE
26,4.763673817,306.4497167,19.22551924,0.0109,0.000806399088,,,TRUE
27,4.886547525,321.4369362,159.9900023,0.0128,0.0001078188692,27_28:0.005087667822555264;27_26:0.01320280499236709,27_28:660;27_26:660,TRUE
